Serial Number,The Social Network,The King's Speech,La La Land,Inception,Avatar,Spotlight,12 Years a Slave,Up in the Air,Inglourious Basterds,Mad Max: Fury Road,Birdman,Manchester by the Sea,The Shape of Water,"Three Billboards Outside Ebbing, Missouri",Argo,Gravity,Black Swan,The Wolf of Wall Street,Life of Pi,Arrival,Call Me by Your Name,The Grand Budapest Hotel,Dunkirk,Toy Story 3,The Imitation Game
80,3,4,,5,4,,,,4,4,3,,,,,,,4,4,,,3,3,3,4
81,,3,3,5,4,,5,,,5,4,,3,3,,,,,4,3,,,,,5
82,,,,4,3,4,5,,5,4,4,,,,5,,5,4,3,,,5,,4,
83,5,4,4,3,5,4,,,,,4,,,,,,5,5,5,,,5,4,4,4
84,4,4,5,,5,,,,,,4,,,,,5,4,4,,,,,,4,
85,3,5,4,4,4,5,,5,5,3,4,,,4,4,4,4,4,4,4,,5,4,4,4
86,,,,,5,,,,,3,,,,,,,,2,,,,,,5,
87,3,3,3,,,,4,,4,,3,4,2,2,4,4,4,3,3,4,3,4,3,2,4
88,,4,5,5,5,,,,,,,,,,,,,5,,,,,5,,
89,,4,,5,4,,5,5,5,5,4,,,4,4,5,,5,5,4,,5,5,4,4
90,4,5,4,4,4,,,5,,3,,,4,,,,5,,4,,4,5,4,,
91,,,,5,5,,,,3,4,5,,,,,4,4,,,,,,,,4
92,5,4,4,5,3,5,4,4,5,4,,,,,3,4,2,5,2,4,,5,4,4,4
93,4,5,5,5,4,,,2,,,,,,,3,5,,3,4,,,,4,4,5
94,,4,,5,5,,,,,,,,,,,,,,,,,,,,5
95,3,4,3,4,3,5,4,4,5,2,3,5,1,5,4,4,5,4,2,5,,5,4,,5
96,5,3,3,4,3,,5,,1,1,3,3,4,,3,,3,5,2,,,4,3,3,5
97,2,,5,5,4,4,,,4,5,,,,,5,5,,5,5,5,5,5,5,5,5
98,5,4,4,5,3,,,4,4,4,3,,3,3,2,5,,2,3,2,,5,4,5,3
99,5,,4,5,5,,,,,,,,,,,5,,5,5,,,,4,5,5
