ID,Close Date,Created Date,New Logo,Type,Stage,Billing Plan, ACV , Discount Amount , Amount , Net Amount 
269,12/30/15,11/12/15,0,Partner - OnPremise Product,Closed Won - Paid,3 Years,15215,24165,69810,45645
270,12/31/15,8/17/15,0,Partner - OnPremise Product,Closed Won - Paid,5 Years,15215,40275,116350,76075
271,12/30/15,12/8/15,0,Partner - OnPremise Product,Closed Won - Paid,3 Years,25344,19008,95040,76032
272,2/8/16,1/8/16,1,Direct - OnPremise Product,Closed Won - Paid,Annual,17900,5370,23270,17900
273,6/24/16,11/6/15,1,Partner - OnPremise Product,Closed Won - Paid,Annual,20000,2000,22000,20000
274,1/26/16,12/29/15,1,Direct - OnPremise Product,Closed Won - Paid,Annual,22000,,22000,22000
275,1/29/16,1/27/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,17600,13200,66000,52800
276,3/31/16,2/7/16,1,Direct - OnPremise Product,Closed Won - Paid,Annual,18000,4000,22000,18000
277,3/21/16,2/7/16,0,Partner - OnPremise Product,Closed Lost,,144000,,144000,144000
278,6/8/16,2/7/16,0,Partner - OnPremise Product,Closed Lost,,49000,,49000,49000
279,3/4/16,2/7/16,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
280,3/31/16,2/7/16,1,Direct - OnPremise Product,Closed Won - Paid,5 Years,26250,243750,375000,131250
281,6/8/16,2/12/16,0,Partner - OnPremise Product,Closed Lost,,49000,,49000,49000
282,2/29/16,2/12/16,1,Partner - OnPremise Product,Closed Won - Paid,Annual,17900,5370,23270,17900
283,6/8/16,2/12/16,0,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
284,3/31/16,2/29/16,1,Partner - OnPremise Product,Closed Won - Paid,2 Years,16500,11000,44000,33000
285,4/28/16,2/22/16,1,Direct - OnPremise Product,Closed Won - Paid,Annual,19200,12800,32000,19200
286,3/14/16,2/22/16,1,Partner - OnPremise Product,Closed Won - Paid,Annual,22000,,22000,22000
287,3/10/16,2/29/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,17600,13200,66000,52800
288,3/31/16,3/4/16,1,Direct - OnPremise Product,Closed Won - Paid,3 Years,14300,23100,66000,42900
289,4/4/16,3/4/16,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
290,3/9/16,2/22/16,1,Partner - OnPremise Product,Closed Won - Paid,Annual,22000,,22000,22000
291,3/31/16,3/11/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,15190,101430,147000,45570
292,3/25/16,3/14/16,1,Partner - OnPremise Product,Closed Won - Paid,Annual,18700,3300,22000,18700
293,4/27/16,3/17/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,17950,12150,66000,53850
294,3/31/16,3/23/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,18240,41280,96000,54720
295,6/14/16,3/23/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,15400,19800,66000,46200
296,9/20/16,5/18/16,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
297,6/30/16,5/31/16,1,Partner - OnPremise Product,Closed Won - Paid,5 Years,22050,134750,245000,110250
298,8/30/16,5/31/16,1,Partner - Cloud Product,Closed Won - Paid,5 Years,60572,187500,375000,187500
299,9/20/16,6/2/16,0,Partner - OnPremise Product,Closed Lost,,40000,,40000,40000
300,6/13/16,6/8/16,1,Direct - OnPremise Product,Closed Won - Paid,Annual,22000,,22000,22000
301,6/15/16,6/8/16,1,Direct - OnPremise Product,Closed Won - Paid,Annual,17920,14080,32000,17920
302,4/11/16,4/8/16,1,Direct - OnPremise Product,Closed Won - Paid,3 Years,24500,73500,147000,73500
303,4/29/16,4/14/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,24500,73500,147000,73500
304,6/8/16,4/14/16,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
305,6/8/16,4/22/16,0,Partner - OnPremise Product,Closed Lost,,49000,,49000,49000
306,6/29/16,4/25/16,1,Partner - OnPremise Product,Closed Won - Paid,5 Years,12100,49500,110000,60500
307,4/26/16,4/26/16,0,Direct - OnPremise Product,Closed Won - Paid,Annual,32000,,32000,32000
308,5/19/16,5/4/16,1,Partner - OnPremise Product,Closed Won - Paid,2 Years,16500,11000,44000,33000
309,6/9/16,5/4/16,1,Partner - OnPremise Product,Closed Won - Paid,Annual,88200,58800,147000,88200
310,9/20/16,8/29/16,0,Partner - OnPremise Product,Closed Lost,,49000,,49000,49000
311,12/23/16,9/20/16,1,Partner - Cloud Product,Closed Won - Paid,3 Years,30778,18000,66000,48000
312,12/30/16,7/19/16,1,Partner - Cloud Product,Closed Won - Paid,3 Years,38666,28800,96000,67200
313,1/17/17,7/19/16,0,Partner - OnPremise Product,Closed Lost,Annual,49000,,49000,49000
314,9/30/16,7/19/16,1,Partner - Cloud Product,Closed Won - Paid,5 Years,47294,98000,245000,147000
315,12/20/16,7/21/16,0,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
316,8/12/16,7/22/16,1,Partner - Cloud Product,Closed Won - Paid,3 Years,58201,110250,225000,114750
317,9/13/16,8/12/16,1,Partner - OnPremise Product,Closed Won - Paid,5 Years,17160,24200,110000,85800
318,12/6/16,8/15/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,36667,37000,147000,110000
319,3/20/17,8/15/16,1,Direct - OnPremise Product,Closed Won - Paid,Annual,18000,4000,22000,18000
320,9/28/16,8/15/16,1,Direct - OnPremise Product,Closed Won - Paid,2 Years,17600,8800,44000,35200
321,12/29/16,9/22/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,24000,24000,96000,72000
322,11/16/16,9/22/16,0,Partner - OnPremise Product,Closed Lost,,49000,,49000,49000
323,10/27/16,9/22/16,1,Partner - Cloud Product,Closed Won - Not Paid,5 Years,35708,60000,160000,100000
324,4/5/17,10/17/16,0,Partner - OnPremise Product,Closed Lost,2 Years,37500,,75000,75000
325,3/1/17,10/21/16,0,Partner - OnPremise Product,Closed Lost,Annual,25000,,25000,25000
326,7/5/17,5/10/17,1,Partner - Cloud Product,Closed Lost,3 Years,28700,19800,66000,46200
327,1/20/16,9/8/15,0,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
328,4/14/16,8/11/15,0,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
329,10/22/15,8/11/15,0,Partner - OnPremise Product,Closed Lost,,200000,,200000,200000
330,11/17/15,8/14/15,0,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
331,11/12/15,11/8/15,0,Direct - OnPremise Product,Closed Won - Paid,3 Years,33834,12545,114048,101503
332,1/20/16,9/15/15,0,Partner - OnPremise Product,Closed Lost,,17900,,17900,17900
333,3/29/16,12/18/15,1,Direct - OnPremise Product,Closed Won - Paid,Annual,60000,,60000,60000
334,1/20/16,10/30/15,0,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
335,11/6/15,10/15/15,0,Direct - OnPremise Product,Closed Won - Paid,3 Years,26928,14256,95040,80784
336,12/28/15,9/11/15,0,Partner - OnPremise Product,Closed Won - Paid,3 Years,45460,40914,177294,136380
337,12/31/15,8/10/15,0,Direct - OnPremise Product,Closed Won - Paid,3 Years,15215,24165,69810,45645
338,2/2/16,11/18/15,1,Partner - OnPremise Product,Closed Won - Paid,Annual,29440,2560,32000,29440
339,12/22/15,11/17/15,0,Direct - OnPremise Product,Closed Won - Paid,Annual,20000,2000,22000,20000
340,4/14/16,10/14/15,0,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
341,6/29/16,2/25/16,0,Partner - Cloud Product,Closed Lost,3 Years,89432,40500,225000,184500
342,4/17/16,3/31/16,0,Partner - OnPremise Product,Closed Won - Paid,3 Years,       ,,       ,       
343,11/28/16,11/10/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
344,12/22/16,11/15/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
345,7/5/17,11/16/16,1,Partner - OnPremise Product,Closed Lost,Annual,49000,,49000,49000
346,1/31/17,11/17/16,0,Direct - OnPremise Product,Closed Lost,Annual,32000,,32000,32000
347,4/5/17,11/18/16,0,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
348,3/27/17,11/21/16,0,Direct - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
349,12/20/16,11/21/16,0,Partner - OnPremise Product,Closed Lost,,49500,16500,66000,49500
350,4/5/17,11/29/16,0,Direct - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
351,8/7/17,12/8/16,1,Direct - Cloud Product,Closed Lost,3 Years,44000,19200,96000,76800
352,5/23/17,12/9/16,1,Partner - OnPremise Product,Closed Lost,3 Years,36750,36750,147000,110250
353,1/17/17,12/13/16,0,Direct - OnPremise Product,Closed Lost,,49500,16500,66000,49500
354,8/10/17,12/13/16,1,Partner - Cloud Product,Closed Won - Paid,3 Years,34030,11220,66000,54780
355,4/10/17,12/15/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,25600,19200,96000,76800
356,12/28/16,12/20/16,1,Direct - OnPremise Product,Closed Won - Paid,3 Years,22400,28800,96000,67200
357,12/30/16,12/20/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,16000,48000,96000,48000
358,6/16/17,12/28/16,1,Partner - OnPremise Product,Closed Won - Not Paid,3 Years,17600,13200,66000,52800
359,1/31/17,1/13/17,0,Partner - OnPremise Product,Closed Lost,3 Years,22000,,66000,66000
360,3/31/17,1/17/17,1,Direct - Cloud Product,Closed Won - Paid,3 Years,60006,149625,262500,112875
361,3/13/17,1/20/17,0,Partner - OnPremise Product,Closed Lost,Annual,49000,,49000,49000
362,3/6/17,1/20/17,0,Direct - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
363,8/28/17,1/24/17,1,Partner - Cloud Product,Closed Lost,3 Years,34850,9900,66000,56100
364,4/26/17,1/26/17,1,Partner - Cloud Product,Closed Won - Paid,3 Years,29930,17820,66000,48180
365,7/5/17,1/30/17,1,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
366,4/5/17,2/1/17,0,Partner - OnPremise Product,Closed Lost,Annual,32000,,32000,32000
367,7/5/17,2/3/17,1,Direct - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
368,3/13/17,2/8/17,0,Direct - OnPremise Product,Closed Lost,3 Years,19800,6600,66000,59400
369,6/15/17,2/8/17,1,Partner - Cloud Product,Closed Won - Paid,3 Years,40700,24960,96000,71040
370,3/14/17,2/9/17,0,Direct - OnPremise Product,Closed Lost,Annual,32000,,32000,32000
371,4/17/17,2/9/17,1,Partner - Cloud Product,Closed Won - Paid,3 Years,42610,19200,96000,76800
372,3/27/17,2/14/17,0,Partner - OnPremise Product,Closed Lost,3 Years,25600,19200,96000,76800
373,2/16/17,2/14/17,0,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
374,8/31/17,8/10/15,1,Partner - Cloud Product,Closed Won - Not Paid,Annual,54400,6400,32000,25600
375,5/10/16,9/29/15,0,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
376,5/24/16,11/18/15,0,Direct - OnPremise Product,Closed Lost,,31680,,31680,31680
377,5/19/16,8/4/15,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
378,10/12/16,10/6/15,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
379,10/4/16,10/9/15,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
380,10/12/16,9/23/15,0,Direct - OnPremise Product,Closed Lost,,75000,,75000,75000
381,10/4/16,12/1/15,0,Partner - OnPremise Product,Closed Lost,,23000,,23000,23000
382,10/4/16,1/7/16,0,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
383,5/24/16,2/2/16,0,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
384,12/22/16,2/9/16,0,Direct - OnPremise Product,Closed Lost,,32000,,32000,32000
385,10/4/16,2/11/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
386,5/4/16,2/11/16,0,Direct - OnPremise Product,Closed Lost,,32000,,32000,32000
387,4/21/16,2/22/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
388,3/31/16,2/23/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,21667,31000,96000,65000
389,2/6/17,2/29/16,0,Partner - OnPremise Product,Closed Lost,Annual,49000,,49000,49000
390,6/7/16,2/24/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
391,10/4/16,2/25/16,0,Direct - OnPremise Product,Closed Lost,,60000,,60000,60000
392,3/31/16,3/4/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,19200,38400,96000,57600
393,4/10/17,3/4/16,0,Direct - OnPremise Product,Closed Lost,Annual,49000,,49000,49000
394,10/12/16,3/7/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
395,9/26/16,3/7/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,29400,58800,147000,88200
396,10/4/16,3/9/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
397,7/24/17,3/9/16,1,Partner - OnPremise Product,Closed Won - Not Paid,3 Years,18260,11220,66000,54780
398,5/12/16,3/10/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
399,5/10/16,3/11/16,0,Partner - OnPremise Product,Closed Lost,,64000,,64000,64000
400,3/31/16,3/14/16,0,Direct - OnPremise Product,Closed Lost,,       ,,       ,       
401,3/31/16,3/14/16,1,Direct - OnPremise Product,Closed Won - Paid,2 Years,12200,19600,44000,24400
402,5/1/17,3/15/16,0,Direct - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
403,4/20/16,3/16/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
404,6/10/16,3/17/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,15400,,46200,46200
405,4/21/16,3/22/16,1,Direct - OnPremise Product,Closed Won - Paid,Annual,27200,4800,32000,27200
406,3/29/16,3/22/16,1,Direct - OnPremise Product,Closed Won - Paid,2 Years,17600,8800,44000,35200
407,10/4/16,3/23/16,0,Direct - OnPremise Product,Closed Lost,,32000,,32000,32000
408,5/3/16,3/28/16,0,Direct - OnPremise Product,Closed Lost,,32000,,32000,32000
409,10/4/16,3/29/16,0,Direct - OnPremise Product,Closed Lost,,32000,,32000,32000
410,8/26/16,3/30/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
411,12/30/16,5/25/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,16940,15180,66000,50820
412,8/18/16,5/25/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,24500,73500,147000,73500
413,9/29/16,5/25/16,1,Partner - Cloud Product,Closed Won - Paid,3 Years,57277,112500,225000,112500
414,7/18/16,6/2/16,0,Direct - OnPremise Product,Closed Lost,,32000,,32000,32000
415,10/4/16,6/3/16,0,Partner - OnPremise Product,Closed Lost,,46200,,46200,46200
416,10/4/16,6/3/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
417,7/18/16,6/3/16,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
418,10/12/16,3/31/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
419,4/14/16,4/5/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
420,10/17/16,4/6/16,0,Direct - OnPremise Product,Closed Lost,,32000,,32000,32000
421,1/19/17,4/8/16,0,Direct - OnPremise Product,Closed Lost,,44000,,44000,44000
422,10/12/16,4/8/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
423,5/27/16,4/8/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
424,10/12/16,4/14/16,0,Direct - OnPremise Product,Closed Lost,,44000,,44000,44000
425,4/15/16,4/14/16,0,Direct - OnPremise Product,Closed Lost,,66000,,66000,66000
426,10/12/16,4/14/16,0,Direct - OnPremise Product,Closed Lost,,49000,,49000,49000
427,5/19/16,4/18/16,1,Direct - OnPremise Product,Closed Won - Paid,3 Years,17733,12800,66000,53200
428,2/7/17,4/20/16,0,Direct - OnPremise Product,Closed Lost,Annual,44000,,44000,44000
429,5/6/16,4/22/16,1,Partner - OnPremise Product,Closed Won - Paid,2 Years,18700,6600,44000,37400
430,6/7/16,4/25/16,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
431,4/5/17,4/28/16,0,Direct - OnPremise Product,Closed Lost,Annual,49000,,49000,49000
432,5/19/16,4/29/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
433,6/8/16,5/4/16,1,Direct - OnPremise Product,Closed Won - Not Paid,3 Years,22540,79380,147000,67620
434,7/12/16,5/5/16,1,Partner - OnPremise Product,Closed Won - Paid,4 Years,14300,30800,88000,57200
435,10/4/16,5/10/16,0,Partner - Cloud Product,Closed Lost,,,,50000,50000
436,3/17/17,5/10/16,1,Partner - OnPremise Product,Closed Won - Paid,Annual,22000,,22000,22000
437,4/10/17,5/11/16,0,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
438,7/22/16,5/12/16,1,Partner - OnPremise Product,Closed Won - Paid,5 Years,20800,56000,160000,104000
439,7/19/16,5/12/16,0,Direct - OnPremise Product,Closed Lost,,44000,,44000,44000
440,1/27/17,5/13/16,1,Partner - Cloud Product,Closed Won - Paid,3 Years,27327,26400,66000,39600
441,10/17/16,8/29/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,22400,28800,96000,67200
442,12/28/16,8/30/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
443,9/28/16,8/30/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,19800,6600,66000,59400
444,1/19/17,9/1/16,0,Direct - OnPremise Product,Closed Lost,,56100,9900,66000,56100
445,10/4/16,9/1/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
446,1/18/17,9/1/16,0,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
447,4/5/17,9/1/16,0,Partner - OnPremise Product,Closed Lost,Annual,32000,,32000,32000
448,10/4/16,9/6/16,0,Partner - OnPremise Product,Closed Lost,,67200,28800,96000,67200
449,3/27/17,9/7/16,0,Partner - OnPremise Product,Closed Lost,3 Years,17600,13200,66000,52800
450,4/5/17,9/13/16,0,Direct - OnPremise Product,Closed Lost,Annual,49000,,49000,49000
451,4/5/17,9/14/16,0,Partner - OnPremise Product,Closed Lost,Annual,49000,,49000,49000
452,9/26/16,9/14/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
453,10/12/16,6/14/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
454,12/30/16,6/20/16,1,Direct - OnPremise Product,Closed Won - Paid,5 Years,28420,102900,245000,142100
455,7/5/17,6/20/16,1,Direct - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
456,6/28/16,6/21/16,1,Direct - Cloud Product,Closed Won - Not Paid,2 Years,41961,19200,64000,44800
457,10/4/16,6/21/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
458,6/30/16,6/22/16,1,Direct - OnPremise Product,Closed Won - Paid,5 Years,14300,38500,110000,71500
459,3/27/17,6/22/16,0,Partner - OnPremise Product,Closed Lost,Annual,32000,,32000,32000
460,6/30/16,6/22/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,15400,19800,66000,46200
461,8/5/16,6/22/16,1,Partner - Cloud Product,Closed Lost,Annual,183688,,49422,49422
462,6/30/16,6/28/16,1,Direct - OnPremise Product,Closed Won - Paid,3 Years,29400,58800,147000,88200
463,10/4/16,6/29/16,0,Partner - Cloud Product,Closed Lost,,,,22000,22000
464,7/1/16,6/30/16,1,Direct - OnPremise Product,Closed Won - Paid,Annual,17600,4400,22000,17600
465,10/4/16,7/8/16,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
466,7/18/16,7/8/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
467,7/28/16,7/11/16,0,Direct - OnPremise Product,Closed Lost,,32000,,32000,32000
468,10/28/16,7/13/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
469,8/10/16,7/14/16,0,Direct - OnPremise Product,Closed Lost,,49500,,49500,49500
470,6/21/17,7/20/16,1,Partner - OnPremise Product,Closed Won - Not Paid,3 Years,25600,19200,96000,76800
471,12/21/16,7/28/16,1,Partner - Cloud Product,Closed Won - Paid,3 Years,36694,33600,96000,62400
472,11/14/16,7/28/16,0,Partner - Cloud Product,Closed Lost,,110082,33600,96000,62400
473,10/20/16,8/1/16,0,Direct - Cloud Product,Closed Lost,,,,49000,49000
474,8/11/16,8/1/16,1,Partner - OnPremise Product,Closed Won - Paid,2 Years,18700,6600,44000,37400
475,8/17/16,8/4/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
476,12/20/16,8/8/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,16500,16500,66000,49500
477,11/29/16,8/12/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
478,2/10/17,8/18/16,0,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
479,12/22/16,8/22/16,0,Direct - OnPremise Product,Closed Lost,,49000,,49000,49000
480,7/28/17,8/25/16,1,Partner - Cloud Product,Closed Lost,3 Years,44000,19200,96000,76800
481,9/9/16,8/25/16,0,Partner - Cloud Product,Closed Lost,,,,32000,32000
482,11/4/16,8/25/16,1,Partner - OnPremise Product,Closed Won - Not Paid,3 Years,18700,9900,66000,56100
483,12/12/16,8/26/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
484,7/5/17,9/22/16,1,Partner - OnPremise Product,Closed Lost,Annual,49000,,49000,49000
485,7/5/17,9/22/16,1,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
486,10/20/16,10/4/16,1,Direct - OnPremise Product,Closed Won - Paid,5 Years,25600,32000,160000,128000
487,3/14/17,10/4/16,1,Partner - Cloud Product,Closed Won - Paid,3 Years,23374,36300,66000,29700
488,12/9/16,10/12/16,0,Direct - OnPremise Product,Closed Lost,,32000,,32000,32000
489,1/4/17,10/13/16,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
490,5/1/17,10/17/16,0,Direct - OnPremise Product,Closed Lost,Annual,32000,,32000,32000
491,11/7/16,10/19/16,1,Direct - OnPremise Product,Closed Won - Not Paid,3 Years,18700,9900,66000,56100
492,12/6/16,10/21/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
493,1/23/17,10/25/16,0,Direct - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
494,12/20/16,10/26/16,0,Direct - OnPremise Product,Closed Lost,,49500,16500,66000,49500
495,1/17/17,10/28/16,0,Direct - OnPremise Product,Closed Lost,,72000,24000,96000,72000
496,7/28/17,11/2/16,1,Direct - OnPremise Product,Closed Lost,Annual,32000,,32000,32000
497,8/28/17,5/11/17,1,Direct - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
498,5/31/17,5/18/17,1,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
499,6/29/17,5/23/17,1,Partner - Cloud Product,Closed Won - Not Paid,3 Years,34705,11880,66000,54120
500,8/10/17,5/25/17,1,Partner - Cloud Product,Closed Lost,3 Years,34030,11220,66000,54780
501,8/21/17,6/8/17,1,Partner - Cloud Product,Closed Lost,3 Years,57205,15435,102900,87465
502,8/3/17,6/12/17,1,Partner - Cloud Product,Closed Lost,3 Years,44000,19200,96000,76800
503,6/29/17,6/13/17,1,Direct - Cloud Product,Closed Lost,3 Years,73950,22050,147000,124950
504,9/6/17,6/13/17,1,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
505,4/12/17,2/21/17,1,Partner - Cloud Product,Closed Lost,3 Years,48068,73500,147000,73500
506,5/1/17,2/23/17,0,Direct - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
507,6/2/17,2/27/17,1,Partner - Cloud Product,Closed Won - Paid,2 Years,55956,18112,64000,45888
508,3/27/17,2/27/17,0,Direct - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
509,4/18/17,2/28/17,1,Partner - Cloud Product,Closed Won - Paid,Annual,30779,5485,22000,16515
510,3/3/17,3/3/17,1,Direct - OnPremise Product,Closed Won - Paid,3 Years,19800,6600,66000,59400
511,6/22/17,3/7/17,1,Partner - Cloud Product,Closed Won - Paid,3 Years,31160,15840,66000,50160
512,3/27/17,3/9/17,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,24000,24000,96000,72000
513,4/25/17,3/10/17,1,Partner - OnPremise Product,Closed Lost,Annual,49000,,49000,49000
514,3/27/17,3/21/17,1,Direct - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
515,5/2/17,3/24/17,1,Partner - Cloud Product,Closed Won - Not Paid,3 Years,32751,13279,66000,52721
516,8/18/17,4/6/17,1,Direct - Cloud Product,Closed Lost,3 Years,26400,49920,96000,46080
517,6/13/17,4/11/17,1,Direct - Cloud Product,Closed Lost,3 Years,32800,13200,66000,52800
518,5/18/17,4/17/17,1,Partner - OnPremise Product,Closed Lost,Annual,49000,,49000,49000
519,7/6/17,5/2/17,1,Direct - OnPremise Product,Closed Lost,Annual,49000,,49000,49000
520,8/15/17,6/14/17,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,18700,9900,66000,56100
521,8/24/17,6/14/17,1,Partner - OnPremise Product,Closed Won - Not Paid,3 Years,18700,9900,66000,56100
522,6/23/17,6/16/17,1,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
523,6/30/17,6/28/17,1,Direct - OnPremise Product,Closed Won - Paid,3 Years,22400,28800,96000,67200
524,8/3/17,6/28/17,1,Partner - Cloud Product,Closed Lost,3 Years,33620,11880,66000,54120
525,7/26/17,6/29/17,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,19800,6600,66000,59400
526,8/18/17,7/27/17,1,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
527,8/23/17,8/23/17,1,Partner - OnPremise Product,Closed Won - Paid,2 Years,18000,8000,44000,36000
528,9/5/17,8/25/17,1,Partner - OnPremise Product,Closed Lost,3 Years,19800,6600,66000,59400
529,4/5/16,9/30/15,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
530,6/6/17,5/25/17,1,Direct - OnPremise Product,Closed Lost,,16500,5500,22000,16500
531,6/26/17,2/22/17,1,Partner - Cloud Product,Closed Won - Paid,3 Years,47600,28800,96000,67200
532,5/10/17,2/23/17,1,Direct - OnPremise Product,Closed Lost,3 Years,25333,20000,96000,76000
533,5/19/17,2/28/17,1,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
534,4/28/17,2/28/17,0,Direct - OnPremise Product,Closed Lost,3 Years,7333,,22000,22000
535,3/28/17,2/28/17,1,Partner - Cloud Product,Closed Won - Paid,3 Years,31951,45120,96000,50880
536,3/17/17,3/1/17,1,Partner - OnPremise Product,Closed Lost,Annual,16500,5500,22000,16500
537,7/10/17,3/3/17,1,Partner - OnPremise Product,Closed Lost,3 Years,16500,16500,66000,49500
538,3/30/17,3/6/17,1,Partner - Cloud Product,Closed Won - Paid,3 Years,28683,23100,66000,42900
539,3/17/17,3/6/17,1,Direct - Cloud Product,Closed Won - Paid,3 Years,21008,44040,66000,21960
540,3/31/17,3/7/17,1,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
541,3/30/17,3/8/17,1,Direct - Cloud Product,Closed Won - Paid,Annual,36016,1750,22000,20250
542,4/28/17,3/8/17,1,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
543,8/28/17,3/13/17,1,Partner - OnPremise Product,Closed Lost,Annual,32000,,32000,32000
544,8/28/17,3/16/17,1,Partner - Cloud Product,Closed Won - Not Paid,3 Years,34497,10468,66000,55532
