ID,Close Date,Created Date,New Logo,Type,Stage,Billing Plan, ACV , Discount Amount , Amount , Net Amount 
63,12/20/16,8/22/16,1,Partner - OnPremise Product,Closed Won - Paid,5 Years,24000,40000,160000,120000
64,3/21/17,8/22/16,0,Partner - OnPremise Product,Closed Lost,3 Years,78750,138750,375000,236250
65,11/18/16,8/22/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,100000,75000,375000,300000
66,3/3/17,8/24/16,1,Partner - Cloud Product,Closed Won - Paid,Annual,64707,26460,49000,22540
67,8/1/17,5/15/17,1,Partner - OnPremise Product,Closed Lost,Annual,75000,,75000,75000
68,7/19/17,5/18/17,1,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
69,5/4/17,3/3/17,1,Partner - Cloud Product,Closed Won - Paid,Annual,46750,4800,32000,27200
70,8/1/17,3/7/17,1,Partner - Cloud Product,Closed Lost,3 Years,412080,193125,772500,579375
71,6/28/17,3/31/17,1,Partner - Cloud Product,Closed Lost,Annual,166000,       ,75000,75000
72,7/26/17,4/10/17,1,Partner - Cloud Product,Closed Lost,3 Years,32000,       ,96000,96000
73,5/9/17,4/12/17,1,Direct - Cloud Product,Closed Won - Not Paid,3 Years,94322,130815,225000,94185
74,7/19/17,4/24/17,1,Direct - Cloud Product,Closed Lost,,295000,       ,295000,295000
75,7/6/17,4/27/17,1,Direct - Cloud Product,Closed Lost,3 Years,32000,       ,96000,96000
76,5/18/17,5/1/17,1,Partner - Cloud Product,Closed Won - Paid,Annual,55000,       ,32000,32000
77,7/6/17,5/5/17,1,Partner - Cloud Product,Closed Lost,3 Years,75000,       ,225000,225000
78,7/5/17,5/31/17,1,Partner - OnPremise Product,Closed Lost,,18000,4000,22000,18000
79,7/24/17,6/2/17,1,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
80,8/2/17,6/2/17,1,Partner - OnPremise Product,Closed Lost,,17600,4400,22000,17600
81,6/27/17,6/13/17,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,22400,28800,96000,67200
82,7/12/17,2/27/17,1,Direct - OnPremise Product,Closed Lost,,17600,,17600,17600
83,3/31/17,2/27/17,1,Direct - Cloud Product,Closed Won - Paid,3 Years,25657,60570,96000,35430
84,5/1/17,2/27/17,1,Partner - OnPremise Product,Closed Lost,Annual,17600,,17600,17600
85,3/31/17,2/27/17,1,Partner - Cloud Product,Closed Won - Not Paid,3 Years,37376,31941,96000,64059
86,5/1/17,3/1/17,1,Partner - OnPremise Product,Closed Lost,Annual,17600,,17600,17600
87,3/31/17,3/2/17,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,13200,26400,66000,39600
88,4/25/17,3/8/17,1,Partner - OnPremise Product,Closed Lost,Annual,17600,,17600,17600
89,3/31/17,3/8/17,1,Partner - OnPremise Product,Closed Lost,Annual,17600,,17600,17600
90,6/30/17,3/8/17,1,Partner - OnPremise Product,Closed Lost,Annual,17600,,17600,17600
91,6/28/17,3/15/17,1,Partner - Cloud Product,Closed Won - Not Paid,3 Years,48960,26880,96000,69120
92,3/28/17,3/22/17,1,Partner - OnPremise Product,Closed Lost,Annual,17600,,17600,17600
93,3/31/17,3/22/17,1,Partner - OnPremise Product,Closed Won - Paid,4 Years,18750,53000,128000,75000
94,7/5/17,3/22/17,1,Partner - OnPremise Product,Closed Lost,Annual,17600,4400,22000,17600
95,3/31/17,3/31/17,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,17600,13200,66000,52800
96,6/2/17,3/31/17,1,Partner - OnPremise Product,Closed Lost,,17600,4400,22000,17600
97,4/27/17,4/4/17,1,Partner - OnPremise Product,Closed Lost,,17600,,17600,17600
98,6/28/17,4/4/17,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,17600,13200,66000,52800
99,6/1/17,4/5/17,1,Partner - OnPremise Product,Closed Lost,,24000,12000,36000,24000
100,7/12/17,4/6/17,1,Partner - OnPremise Product,Closed Lost,,28000,4000,32000,28000
101,5/24/17,4/13/17,1,Direct - Cloud Product,Closed Lost,Annual,45815,8970,29900,20930
102,4/24/17,4/20/17,1,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
103,6/7/17,4/21/17,1,Direct - OnPremise Product,Closed Won - Paid,Annual,27440,6860,34300,27440
104,7/25/17,4/24/17,1,Partner - OnPremise Product,Closed Lost,3 Years,20000,36000,96000,60000
105,7/5/17,4/26/17,1,Partner - OnPremise Product,Closed Lost,,11000,11000,22000,11000
106,5/26/17,4/28/17,1,Direct - Cloud Product,Closed Won - Paid,2 Years,32800,8800,44000,35200
107,7/5/17,5/3/17,1,Partner - OnPremise Product,Closed Lost,,18000,4000,22000,18000
108,7/14/17,6/14/17,1,Partner - OnPremise Product,Closed Lost,,17600,4400,22000,17600
109,7/14/17,6/22/17,1,Partner - OnPremise Product,Closed Lost,,22400,9600,32000,22400
110,6/29/17,6/28/17,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,16500,16500,66000,49500
111,8/2/17,7/28/17,1,Partner - OnPremise Product,Closed Lost,,17600,4400,22000,17600
112,1/30/17,11/10/16,0,Direct - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
113,5/2/17,11/14/16,0,Direct - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
114,5/16/17,11/17/16,1,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
115,1/31/17,11/18/16,0,Direct - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
116,2/28/17,11/22/16,0,Partner - OnPremise Product,Closed Lost,3 Years,17600,,52800,52800
117,5/16/17,12/9/16,1,Direct - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
118,1/31/17,12/14/16,0,Direct - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
119,3/7/17,1/9/17,0,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
120,2/1/17,1/9/17,0,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
121,8/1/17,1/10/17,1,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
122,2/22/17,1/19/17,0,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
123,3/31/17,1/20/17,1,Partner - OnPremise Product,Closed Lost,Annual,38000,,38000,38000
124,6/27/17,1/20/17,1,Partner - OnPremise Product,Closed Won - Not Paid,3 Years,17600,13200,66000,52800
125,2/10/17,1/30/17,0,Partner - OnPremise Product,Closed Lost,Annual,18000,,18000,18000
126,3/31/17,2/1/17,1,Partner - Cloud Product,Closed Won - Paid,3 Years,36090,35070,96000,60930
127,3/7/17,2/2/17,0,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
128,3/23/17,2/3/17,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,17600,13200,66000,52800
129,2/21/17,2/3/17,0,Direct - OnPremise Product,Closed Lost,Annual,17600,,17600,17600
130,3/31/17,2/6/17,0,Partner - OnPremise Product,Closed Lost,Annual,18000,,18000,18000
131,3/7/17,2/14/17,0,Direct - Cloud Product,Closed Lost,Annual,22000,,54000,54000
132,3/31/17,2/14/17,1,Partner - OnPremise Product,Closed Lost,,17600,,17600,17600
133,3/9/17,2/16/17,0,Direct - OnPremise Product,Closed Lost,Annual,17600,,17600,17600
134,6/28/17,2/17/17,1,Partner - Cloud Product,Closed Won - Not Paid,3 Years,39600,26880,96000,69120
135,1/24/17,3/1/16,0,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
136,7/5/17,3/10/16,1,Partner - OnPremise Product,Closed Lost,Annual,49000,,49000,49000
137,7/12/17,5/27/16,1,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
138,1/24/17,9/8/16,0,Direct - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
139,7/5/17,9/16/16,1,Direct - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
140,1/4/17,9/16/16,0,Direct - OnPremise Product,Closed Lost,,40000,,40000,40000
141,5/16/17,9/20/16,1,Partner - OnPremise Product,Closed Lost,Annual,49000,,49000,49000
142,7/12/17,6/14/16,1,Direct - OnPremise Product,Closed Lost,Annual,32000,,32000,32000
143,7/5/17,6/23/16,1,Direct - OnPremise Product,Closed Lost,3 Years,32000,,96000,96000
144,3/31/17,7/13/16,0,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
145,7/12/17,7/28/16,1,Direct - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
146,2/3/17,8/11/16,0,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
147,1/24/17,8/24/16,0,Direct - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
148,1/31/17,9/30/16,0,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
149,5/31/17,5/17/17,1,Partner - OnPremise Product,Closed Won - Paid,Annual,22000,,22000,22000
150,7/5/17,11/16/16,1,Partner - OnPremise Product,Closed Lost,3 Years,75000,,225000,225000
151,2/23/17,12/16/16,0,Partner - OnPremise Product,Closed Lost,Annual,49000,,49000,49000
152,7/5/17,12/28/16,1,Partner - OnPremise Product,Closed Lost,Annual,49000,,49000,49000
153,1/26/17,1/12/17,0,Direct - Cloud Product,Closed Lost,3 Years,,,200000,200000
154,3/15/17,1/19/17,0,Partner - Cloud Product,Closed Lost,3 Years,363000,,750000,750000
155,3/28/17,1/19/17,0,Partner - Cloud Product,Closed Lost,3 Years,73098,,147000,147000
156,2/21/17,1/23/17,0,Direct - Cloud Product,Closed Lost,3 Years,150000,,450000,450000
157,3/6/17,1/24/17,1,Partner - Cloud Product,Closed Won - Paid,Annual,30039,6600,22000,15400
158,3/1/17,1/27/17,0,Partner - Cloud Product,Closed Lost,3 Years,100100,,300300,300300
159,3/31/17,1/30/17,1,Partner - Cloud Product,Closed Won - Paid,3 Years,38173,       ,66000,66000
160,7/24/17,2/2/17,1,Partner - Cloud Product,Closed Lost,3 Years,34030,11220,66000,54780
161,3/9/17,2/11/17,0,Partner - Cloud Product,Closed Lost,3 Years,144000,,432000,432000
162,2/22/17,2/14/17,0,Partner - Cloud Product,Closed Lost,3 Years,23333,,70000,70000
163,7/26/17,9/14/15,1,Partner - Cloud Product,Closed Lost,Annual,225000,       ,225000,225000
164,1/3/17,4/6/16,0,Partner - OnPremise Product,Closed Lost,Annual,75000,,75000,75000
165,1/26/17,8/31/16,0,Partner - Cloud Product,Closed Lost,3 Years,,,66000,66000
166,5/17/17,7/14/16,1,Partner - OnPremise Product,Closed Lost,3 Years,22000,,66000,66000
167,7/5/17,8/15/16,1,Partner - Cloud Product,Closed Lost,3 Years,202000,       ,225000,225000
168,1/26/17,8/18/16,0,Partner - Cloud Product,Closed Lost,Annual,,,175500,175500
169,1/18/17,10/21/16,0,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
170,6/30/17,10/21/16,1,Partner - Cloud Product,Closed Won - Paid,3 Years,159580,47250,225000,177750
171,8/29/17,5/8/17,1,Partner - OnPremise Product,Closed Won - Not Paid,3 Years,54750,60750,225000,164250
172,7/19/17,5/11/17,1,Partner - Cloud Product,Closed Lost,3 Years,173200,       ,225000,225000
173,7/19/17,5/14/17,1,Partner - Cloud Product,Closed Lost,3 Years,55000,       ,96000,96000
174,8/9/17,5/19/17,1,Partner - Cloud Product,Closed Won - Not Paid,3 Years,120280,108300,285000,176700
175,7/18/17,5/25/17,1,Direct - OnPremise Product,Closed Lost,3 Years,22000,       ,66000,66000
